,Transaction_ID,Customer_ID,Product_Id,Date,Quantity,Amount
126,t127,C100,P21,2021-03-05,2,152
127,t128,C57,P10,2022-07-27,2,120
128,t129,C175,P6,2019-07-31,1,18
129,t130,C156,P20,2022-03-16,2,98
130,t131,C246,P7,2023-06-11,1,12
131,t132,C81,P5,2021-02-07,3,75
132,t133,C163,P13,2021-02-18,4,32
133,t134,C120,P22,2021-07-10,1,92
134,t135,C136,P13,2022-02-27,1,8
135,t136,C235,P6,2021-09-17,1,18
136,t137,C238,P17,2020-09-01,3,1464
137,t138,C190,P19,2021-03-28,2,108
138,t139,C229,P10,2021-10-31,3,180
139,t140,C229,P13,2021-04-22,1,8
140,t141,C80,P14,2022-04-25,2,196
141,t142,C213,P14,2023-04-24,3,294
142,t143,C86,P3,2021-01-01,5,150
143,t144,C203,P1,2022-12-18,2,100
144,t145,C141,P1,2022-11-13,2,100
145,t146,C46,P7,2023-03-12,2,24
146,t147,C246,P9,2023-02-22,4,320
147,t148,C113,P7,2022-07-03,1,12
148,t149,C26,P17,2019-08-11,3,1464
149,t150,C128,P2,2019-12-22,1,98
150,t151,C40,P5,2019-12-11,4,100
151,t152,C171,P1,2021-11-08,1,50
152,t153,C67,P3,2022-03-24,2,60
153,t154,C10,P18,2020-09-13,1,69
154,t155,C102,P9,2021-05-24,1,80
155,t156,C153,P14,2021-12-22,2,196
156,t157,C39,P1,2022-02-24,1,50
157,t158,C95,P19,2019-11-07,5,270
158,t159,C227,P6,2019-10-15,3,54
159,t160,C172,P12,2019-10-13,2,72
160,t161,C162,P14,2019-06-29,2,196
161,t162,C174,P9,2021-04-03,1,80
162,t163,C108,P20,2021-01-20,1,49
163,t164,C119,P1,2022-07-23,4,200
164,t165,C107,P12,2023-06-03,2,72
165,t166,C187,P20,2023-04-05,5,245
166,t167,C87,P15,2022-03-13,3,1050
167,t168,C117,P15,2023-04-26,3,1050
168,t169,C80,P16,2020-07-31,2,1040
169,t170,C163,P16,2022-01-18,3,1560
170,t171,C240,P15,2023-04-20,3,1050
171,t172,C15,P13,2020-07-27,1,8
172,t173,C76,P20,2021-07-02,2,98
173,t174,C127,P17,2023-03-17,1,488
174,t175,C104,P21,2022-04-26,3,228
175,t176,C73,P2,2020-03-17,2,196
176,t177,C172,P3,2022-01-15,1,30
177,t178,C162,P13,2020-02-15,4,32
178,t179,C66,P1,2021-10-04,2,100
179,t180,C72,P7,2020-07-18,1,12
180,t181,C192,P17,2022-09-12,2,976
181,t182,C148,P12,2020-11-11,1,36
182,t183,C118,P5,2022-05-31,1,25
183,t184,C80,P10,2019-08-24,4,240
184,t185,C92,P8,2019-10-27,2,80
185,t186,C114,P8,2020-05-11,1,40
186,t187,C242,P6,2021-12-22,1,18
187,t188,C183,P19,2022-07-13,1,54
188,t189,C21,P3,2022-07-19,2,60
189,t190,C193,P9,2020-07-20,5,400
190,t191,C128,P8,2020-04-27,2,80
191,t192,C34,P5,2022-07-01,1,25
192,t193,C59,P12,2022-12-14,1,36
193,t194,C172,P22,2023-06-17,3,276
194,t195,C194,P19,2022-03-09,2,108
195,t196,C158,P21,2020-12-26,2,152
196,t197,C85,P12,2019-07-20,2,72
197,t198,C172,P4,2021-03-10,1,120
198,t199,C122,P22,2021-06-20,1,92
199,t200,C45,P15,2022-06-20,3,1050
200,t201,C250,P10,2019-08-03,1,60
201,t202,C220,P11,2019-08-24,1,45
202,t203,C75,P22,2023-05-30,2,184
203,t204,C72,P13,2023-02-25,2,16
204,t205,C73,P1,2022-12-20,2,100
205,t206,C76,P6,2021-11-20,4,72
206,t207,C152,P22,2019-07-12,1,92
207,t208,C27,P8,2023-05-15,1,40
208,t209,C170,P8,2021-01-31,2,80
209,t210,C206,P5,2022-08-28,2,50
210,t211,C238,P22,2021-04-05,1,92
211,t212,C20,P13,2022-06-21,1,8
212,t213,C192,P10,2021-05-10,1,60
213,t214,C50,P1,2020-12-28,1,50
214,t215,C211,P14,2019-10-18,1,98
215,t216,C26,P13,2022-03-01,2,16
216,t217,C70,P14,2020-07-13,1,98
217,t218,C152,P19,2021-04-04,1,54
218,t219,C143,P9,2023-03-30,1,80
219,t220,C248,P16,2021-11-19,3,1560
220,t221,C43,P1,2023-05-20,4,200
221,t222,C245,P11,2021-02-25,1,45
222,t223,C32,P16,2022-10-12,1,520
223,t224,C5,P10,2023-02-09,1,60
224,t225,C161,P1,2019-11-14,2,100
225,t226,C162,P2,2021-08-23,1,98
226,t227,C83,P18,2023-02-13,1,69
227,t228,C37,P6,2021-11-30,1,18
228,t229,C161,P13,2021-03-01,1,8
229,t230,C141,P4,2023-05-14,3,360
230,t231,C167,P15,2020-12-12,3,1050
231,t232,C225,P2,2022-02-02,1,98
232,t233,C44,P17,2019-06-27,1,488
233,t234,C230,P4,2020-08-31,1,120
234,t235,C227,P12,2020-01-14,1,36
235,t236,C43,P19,2023-01-31,1,54
236,t237,C209,P8,2021-10-23,2,80
237,t238,C189,P8,2020-02-07,4,160
238,t239,C56,P5,2023-06-13,4,100
239,t240,C27,P22,2021-12-25,2,184
240,t241,C15,P10,2022-11-10,1,60
241,t242,C207,P21,2021-06-30,1,76
242,t243,C17,P19,2020-12-18,2,108
243,t244,C232,P5,2021-10-30,1,25
244,t245,C212,P21,2022-03-11,1,76
245,t246,C247,P11,2022-03-22,4,180
246,t247,C204,P16,2020-03-17,2,1040
247,t248,C204,P12,2021-02-05,1,36
248,t249,C164,P9,2020-02-26,4,320
249,t250,C9,P3,2020-11-28,1,30
250,t251,C135,P7,2020-12-16,3,36
251,t252,C60,P21,2020-11-14,2,152
252,t253,C180,P17,2022-04-18,1,488
253,t254,C178,P17,2021-12-11,1,488
254,t255,C201,P9,2021-04-12,2,160
255,t256,C6,P11,2020-02-13,1,45
256,t257,C220,P19,2023-06-22,2,108
257,t258,C117,P13,2021-05-18,1,8
258,t259,C144,P16,2021-07-03,1,520
259,t260,C244,P10,2019-11-12,1,60
260,t261,C24,P10,2020-11-16,1,60
261,t262,C227,P10,2022-10-26,4,240
262,t263,C83,P1,2023-06-24,1,50
263,t264,C41,P16,2023-03-10,1,520
264,t265,C213,P1,2022-04-11,2,100
265,t266,C1,P15,2020-07-28,4,1400
266,t267,C220,P17,2019-07-10,1,488
267,t268,C231,P19,2019-10-22,2,108
268,t269,C107,P22,2020-02-09,2,184
269,t270,C155,P12,2021-08-30,1,36
270,t271,C181,P17,2023-03-24,4,1952
271,t272,C112,P17,2022-03-27,2,976
272,t273,C168,P14,2021-01-11,3,294
273,t274,C52,P2,2021-04-01,3,294
274,t275,C219,P22,2023-05-19,1,92
275,t276,C34,P16,2020-10-21,2,1040
276,t277,C4,P17,2022-05-07,2,976
277,t278,C75,P2,2021-04-05,1,98
278,t279,C250,P15,2022-12-28,3,1050
279,t280,C224,P17,2022-04-28,3,1464
280,t281,C211,P12,2021-07-10,1,36
281,t282,C77,P17,2022-02-14,2,976
282,t283,C49,P19,2022-06-16,2,108
283,t284,C128,P16,2021-11-06,3,1560
284,t285,C21,P11,2019-11-27,1,45
285,t286,C247,P5,2020-01-29,3,75
286,t287,C184,P14,2021-05-21,1,98
287,t288,C122,P4,2019-07-28,4,480
288,t289,C62,P16,2022-12-20,2,1040
289,t290,C88,P11,2020-10-03,4,180
290,t291,C144,P9,2020-03-15,4,320
291,t292,C200,P1,2020-12-16,1,50
292,t293,C184,P8,2022-02-01,1,40
293,t294,C132,P14,2022-04-23,2,196
294,t295,C177,P4,2020-05-30,2,240
295,t296,C167,P12,2023-03-09,2,72
296,t297,C181,P4,2021-10-30,1,120
297,t298,C206,P16,2020-09-16,1,520
298,t299,C171,P9,2019-07-07,2,160
299,t300,C151,P8,2019-11-19,1,40
300,t301,C233,P17,2021-09-03,1,488
301,t302,C62,P8,2023-01-10,1,40
302,t303,C8,P10,2019-10-08,1,60
303,t304,C13,P15,2019-09-15,1,350
304,t305,C123,P11,2023-02-17,1,45
305,t306,C187,P9,2023-04-17,1,80
306,t307,C246,P16,2022-06-30,2,1040
307,t308,C115,P17,2022-07-26,2,976
308,t309,C65,P10,2022-02-01,1,60
309,t310,C176,P21,2019-08-11,1,76
310,t311,C160,P12,2023-03-02,2,72
311,t312,C97,P12,2023-06-17,2,72
312,t313,C45,P6,2022-04-20,1,18
313,t314,C26,P10,2019-07-01,1,60
314,t315,C233,P7,2022-10-30,1,12
315,t316,C203,P1,2022-11-18,5,250
316,t317,C242,P2,2021-07-05,3,294
317,t318,C102,P21,2021-08-12,2,152
318,t319,C89,P17,2022-09-05,2,976
319,t320,C13,P8,2023-01-05,1,40
320,t321,C209,P18,2023-02-19,3,207
321,t322,C30,P6,2022-10-26,4,72
322,t323,C92,P21,2021-01-03,1,76
323,t324,C232,P10,2020-10-31,3,180
324,t325,C121,P14,2021-10-30,1,98
325,t326,C242,P11,2021-08-31,1,45
326,t327,C79,P20,2019-09-03,2,98
327,t328,C16,P11,2021-01-14,3,135
328,t329,C242,P17,2019-07-14,3,1464
329,t330,C238,P7,2023-05-13,4,48
330,t331,C164,P19,2023-01-02,1,54
331,t332,C8,P8,2023-06-21,4,160
332,t333,C60,P3,2020-08-19,1,30
333,t334,C15,P20,2023-03-02,1,49
334,t335,C74,P19,2021-09-01,1,54
335,t336,C135,P19,2022-09-11,1,54
336,t337,C20,P3,2020-10-04,4,120
337,t338,C135,P1,2023-03-28,1,50
338,t339,C165,P18,2020-07-23,1,69
339,t340,C190,P15,2021-12-02,1,350
340,t341,C58,P16,2019-11-09,5,2600
341,t342,C105,P20,2023-03-18,3,147
342,t343,C217,P4,2021-11-19,1,120
343,t344,C40,P1,2019-08-04,2,100
344,t345,C133,P15,2022-07-13,1,350
345,t346,C48,P20,2023-06-27,1,49
346,t347,C232,P20,2021-08-03,2,98
347,t348,C2,P17,2022-12-17,3,1464
348,t349,C250,P5,2021-11-25,3,75
349,t350,C104,P1,2022-04-29,1,50
350,t351,C192,P16,2021-05-07,2,1040
351,t352,C181,P6,2019-12-30,1,18
352,t353,C117,P19,2022-01-05,4,216
353,t354,C206,P15,2020-07-21,2,700
354,t355,C198,P10,2021-05-05,1,60
355,t356,C46,P10,2019-07-30,2,120
356,t357,C205,P9,2022-05-31,3,240
357,t358,C235,P14,2021-10-05,1,98
358,t359,C43,P20,2019-08-31,1,49
359,t360,C39,P19,2020-08-05,3,162
360,t361,C233,P5,2021-08-01,1,25
361,t362,C146,P12,2020-08-15,1,36
362,t363,C57,P14,2023-05-15,2,196
363,t364,C96,P22,2022-10-09,1,92
364,t365,C127,P10,2021-08-30,1,60
365,t366,C80,P16,2021-11-13,1,520
366,t367,C158,P15,2020-08-03,1,350
367,t368,C215,P16,2022-07-17,2,1040
368,t369,C4,P18,2020-09-28,1,69
369,t370,C170,P21,2019-11-17,1,76
370,t371,C167,P4,2019-10-31,3,360
371,t372,C15,P18,2022-06-12,1,69
372,t373,C193,P5,2023-01-09,1,25
373,t374,C136,P10,2021-05-15,2,120
374,t375,C64,P15,2020-01-25,1,350
375,t376,C49,P18,2019-09-20,1,69
376,t377,C177,P6,2023-06-08,1,18
377,t378,C211,P19,2021-03-21,1,54
378,t379,C60,P10,2022-03-19,3,180
379,t380,C225,P11,2023-01-09,1,45
380,t381,C60,P20,2023-01-18,2,98
381,t382,C148,P7,2022-03-13,2,24
382,t383,C207,P19,2021-12-04,1,54
383,t384,C160,P2,2020-04-17,2,196
384,t385,C237,P22,2021-03-07,4,368
385,t386,C176,P5,2020-06-04,3,75
386,t387,C73,P16,2023-05-01,1,520
387,t388,C248,P5,2020-10-13,1,25
388,t389,C75,P1,2023-01-15,1,50
389,t390,C63,P3,2021-08-19,2,60
390,t391,C186,P3,2020-08-31,1,30
391,t392,C221,P20,2020-09-28,3,147
392,t393,C188,P15,2021-10-01,1,350
393,t394,C202,P17,2020-08-26,1,488
394,t395,C220,P17,2020-01-30,1,488
395,t396,C248,P16,2020-08-30,3,1560
396,t397,C239,P12,2022-09-18,1,36
397,t398,C82,P1,2023-03-15,5,250
398,t399,C221,P8,2021-07-22,1,40
399,t400,C63,P6,2020-11-07,1,18
400,t401,C63,P22,2021-05-17,1,92
401,t402,C240,P14,2021-01-02,1,98
402,t403,C224,P18,2019-12-06,1,69
403,t404,C220,P13,2019-12-21,2,16
404,t405,C7,P8,2021-12-03,1,40
405,t406,C208,P1,2022-04-09,2,100
406,t407,C156,P22,2023-01-20,2,184
407,t408,C167,P11,2020-05-02,1,45
408,t409,C85,P1,2022-08-18,2,100
409,t410,C125,P6,2021-05-01,2,36
410,t411,C125,P19,2022-04-29,2,108
411,t412,C2,P21,2022-09-06,3,228
412,t413,C89,P18,2019-11-07,1,69
413,t414,C29,P3,2023-04-01,2,60
414,t415,C127,P21,2023-04-07,4,304
415,t416,C178,P10,2019-10-10,4,240
416,t417,C247,P1,2020-04-22,1,50
417,t418,C28,P3,2019-08-17,1,30
418,t419,C98,P14,2020-03-08,2,196
419,t420,C71,P7,2022-10-02,2,24
420,t421,C68,P5,2022-09-30,1,25
421,t422,C45,P9,2023-02-01,1,80
422,t423,C47,P6,2022-05-30,1,18
423,t424,C122,P19,2019-08-10,1,54
424,t425,C156,P13,2019-07-03,4,32
425,t426,C223,P12,2021-04-04,4,144
426,t427,C50,P19,2019-11-22,1,54
427,t428,C81,P22,2020-05-21,1,92
428,t429,C107,P12,2022-01-20,1,36
429,t430,C194,P18,2022-01-08,2,138
430,t431,C110,P1,2020-03-28,1,50
431,t432,C222,P10,2022-12-01,1,60
432,t433,C63,P16,2023-02-18,1,520
433,t434,C125,P21,2022-01-09,1,76
434,t435,C4,P9,2022-08-11,3,240
435,t436,C103,P18,2020-05-09,1,69
436,t437,C20,P20,2023-04-11,2,98
437,t438,C238,P21,2021-09-08,2,152
438,t439,C143,P22,2022-10-11,1,92
439,t440,C57,P19,2022-06-21,1,54
440,t441,C165,P18,2023-05-12,1,69
441,t442,C165,P12,2021-12-24,3,108
442,t443,C131,P20,2021-06-14,2,98
443,t444,C32,P2,2019-07-21,3,294
444,t445,C25,P7,2019-08-12,2,24
445,t446,C27,P15,2021-08-28,3,1050
446,t447,C139,P15,2020-08-10,3,1050
447,t448,C139,P21,2021-08-04,3,228
448,t449,C130,P10,2019-08-18,1,60
449,t450,C11,P12,2019-12-04,1,36
450,t451,C241,P10,2019-09-08,2,120
451,t452,C233,P14,2020-04-02,1,98
452,t453,C13,P12,2019-11-28,1,36
453,t454,C71,P16,2022-10-18,3,1560
454,t455,C228,P12,2021-11-16,1,36
455,t456,C214,P8,2021-03-16,1,40
456,t457,C34,P15,2021-02-14,2,700
457,t458,C150,P5,2021-07-01,1,25
458,t459,C139,P7,2020-08-29,2,24
459,t460,C152,P17,2020-01-18,3,1464
460,t461,C16,P3,2021-05-17,2,60
461,t462,C236,P19,2020-01-18,1,54
462,t463,C181,P13,2020-03-21,1,8
463,t464,C44,P20,2019-08-25,2,98
464,t465,C237,P11,2020-06-05,2,90
465,t466,C143,P15,2023-04-14,3,1050
466,t467,C65,P22,2021-12-02,2,184
467,t468,C128,P2,2022-08-05,2,196
468,t469,C100,P15,2019-11-30,1,350
469,t470,C174,P22,2020-12-02,1,92
470,t471,C240,P1,2022-01-22,1,50
471,t472,C248,P5,2023-06-28,1,25
472,t473,C249,P17,2020-05-10,1,488
473,t474,C211,P22,2019-11-10,1,92
474,t475,C88,P19,2020-06-29,1,54
475,t476,C38,P3,2022-10-02,2,60
476,t477,C14,P4,2020-04-03,4,480
477,t478,C25,P14,2022-04-10,3,294
478,t479,C17,P17,2023-01-18,2,976
479,t480,C232,P17,2020-05-03,1,488
480,t481,C3,P12,2020-03-19,2,72
481,t482,C31,P19,2022-10-14,1,54
482,t483,C140,P3,2021-05-15,5,150
483,t484,C167,P8,2019-12-14,4,160
484,t485,C132,P13,2019-11-13,2,16
485,t486,C162,P3,2021-09-24,2,60
486,t487,C183,P13,2023-02-28,1,8
487,t488,C207,P11,2022-08-15,2,90
488,t489,C87,P5,2022-10-13,1,25
489,t490,C237,P14,2021-02-10,1,98
490,t491,C93,P4,2023-02-14,1,120
491,t492,C100,P13,2020-12-09,1,8
492,t493,C81,P8,2021-07-29,1,40
493,t494,C247,P10,2020-05-27,2,120
494,t495,C186,P22,2022-11-28,3,276
495,t496,C9,P4,2023-06-23,1,120
496,t497,C68,P10,2020-04-13,1,60
497,t498,C157,P12,2023-03-20,1,36
498,t499,C60,P8,2019-07-18,1,40
499,t500,C152,P7,2023-05-31,1,12
500,t501,C236,P14,2021-01-31,1,98
501,t502,C153,P14,2023-03-21,5,490
502,t503,C148,P18,2022-01-21,1,69
503,t504,C119,P22,2020-12-10,3,276
504,t505,C103,P8,2021-10-20,1,40
505,t506,C186,P2,2021-05-01,4,392
506,t507,C42,P8,2020-09-25,1,40
507,t508,C62,P21,2020-08-24,3,228
508,t509,C240,P15,2020-06-17,2,700
509,t510,C199,P8,2023-05-30,5,200
510,t511,C131,P18,2020-12-03,3,207
511,t512,C23,P14,2020-01-15,2,196
512,t513,C138,P14,2021-07-12,2,196
513,t514,C173,P19,2020-12-09,4,216
514,t515,C58,P16,2023-01-23,1,520
515,t516,C232,P13,2023-04-04,1,8
516,t517,C233,P7,2019-11-08,3,36
517,t518,C93,P12,2022-08-26,4,144
518,t519,C204,P12,2020-06-02,3,108
519,t520,C236,P10,2022-01-28,1,60
520,t521,C170,P17,2021-09-04,2,976
521,t522,C66,P6,2022-04-15,2,36
522,t523,C142,P10,2023-02-16,5,300
523,t524,C31,P14,2021-01-19,1,98
524,t525,C137,P7,2019-08-25,1,12
525,t526,C200,P8,2020-02-13,1,40
526,t527,C217,P13,2020-07-17,1,8
527,t528,C179,P11,2021-04-12,1,45
528,t529,C58,P20,2020-08-03,1,49
529,t530,C149,P3,2022-03-08,1,30
530,t531,C65,P22,2020-10-29,2,184
531,t532,C242,P8,2020-07-25,1,40
532,t533,C170,P17,2023-05-08,2,976
533,t534,C106,P15,2022-10-11,3,1050
534,t535,C97,P11,2023-05-02,2,90
535,t536,C51,P7,2022-06-01,1,12
536,t537,C89,P18,2023-03-05,1,69
537,t538,C17,P1,2019-11-24,3,150
538,t539,C158,P13,2022-12-06,1,8
539,t540,C237,P11,2023-04-21,3,135
540,t541,C126,P9,2021-12-03,3,240
541,t542,C239,P8,2022-09-20,1,40
542,t543,C77,P7,2022-03-31,5,60
543,t544,C180,P7,2022-11-06,2,24
544,t545,C117,P8,2020-04-01,3,120
545,t546,C100,P8,2021-12-03,1,40
546,t547,C247,P13,2022-08-30,1,8
547,t548,C72,P21,2020-12-22,2,152
548,t549,C143,P1,2022-03-15,1,50
549,t550,C237,P5,2019-11-01,3,75
550,t551,C120,P22,2022-07-18,3,276
551,t552,C70,P11,2019-11-23,4,180
552,t553,C137,P22,2023-04-28,4,368
553,t554,C188,P17,2020-08-26,1,488
554,t555,C83,P13,2020-12-30,1,8
555,t556,C91,P7,2020-02-20,1,12
556,t557,C119,P8,2021-06-13,3,120
557,t558,C146,P14,2020-07-24,1,98
558,t559,C26,P11,2019-10-24,2,90
559,t560,C131,P13,2023-05-25,1,8
560,t561,C238,P3,2022-09-22,2,60
561,t562,C32,P16,2020-09-06,3,1560
562,t563,C148,P18,2023-06-10,1,69
563,t564,C183,P7,2022-08-25,3,36
564,t565,C168,P21,2021-04-29,3,228
565,t566,C46,P17,2019-07-02,2,976
566,t567,C6,P18,2020-11-18,1,69
567,t568,C127,P14,2020-04-05,3,294
568,t569,C200,P15,2021-06-17,1,350
569,t570,C142,P20,2019-09-15,1,49
570,t571,C67,P21,2022-12-03,1,76
571,t572,C158,P16,2022-04-18,1,520
572,t573,C29,P4,2022-03-10,1,120
573,t574,C4,P3,2023-03-31,2,60
574,t575,C101,P12,2022-02-17,3,108
575,t576,C159,P6,2021-11-17,2,36
576,t577,C119,P13,2020-01-03,4,32
577,t578,C11,P2,2020-10-07,1,98
578,t579,C188,P4,2021-09-09,2,240
579,t580,C206,P15,2022-01-30,4,1400
580,t581,C100,P1,2023-06-27,2,100
581,t582,C231,P11,2022-08-13,1,45
582,t583,C121,P7,2021-07-11,1,12
583,t584,C182,P8,2020-04-29,1,40
584,t585,C80,P16,2022-01-24,2,1040
585,t586,C22,P13,2022-09-03,1,8
586,t587,C84,P1,2023-01-14,2,100
587,t588,C177,P17,2021-10-24,1,488
588,t589,C104,P11,2022-09-27,1,45
589,t590,C148,P7,2020-02-10,2,24
590,t591,C29,P21,2020-11-22,1,76
591,t592,C220,P12,2022-03-20,2,72
592,t593,C26,P17,2022-06-23,3,1464
593,t594,C57,P1,2019-10-17,2,100
594,t595,C57,P18,2021-10-25,5,345
595,t596,C72,P1,2021-09-15,3,150
596,t597,C111,P20,2019-08-15,2,98
597,t598,C198,P9,2021-10-23,4,320
598,t599,C28,P11,2020-11-14,1,45
599,t600,C128,P15,2021-04-29,1,350
600,t601,C196,P22,2020-02-11,4,368
601,t602,C48,P13,2019-12-16,1,8
602,t603,C66,P11,2020-02-01,1,45
603,t604,C183,P21,2021-04-03,1,76
604,t605,C120,P18,2022-12-24,1,69
605,t606,C233,P2,2021-11-25,1,98
606,t607,C110,P17,2022-11-03,1,488
607,t608,C45,P19,2022-11-23,4,216
608,t609,C83,P8,2022-05-18,3,120
609,t610,C62,P20,2022-10-30,3,147
610,t611,C146,P4,2021-02-17,3,360
611,t612,C71,P7,2023-04-28,2,24
612,t613,C248,P1,2020-03-17,1,50
613,t614,C247,P17,2022-03-30,1,488
614,t615,C186,P12,2019-07-15,1,36
615,t616,C13,P8,2021-08-16,1,40
616,t617,C87,P6,2020-09-24,1,18
617,t618,C219,P11,2021-04-09,1,45
618,t619,C92,P15,2019-10-03,1,350
619,t620,C206,P8,2021-07-06,1,40
620,t621,C136,P4,2020-03-14,3,360
621,t622,C25,P19,2021-08-12,5,270
622,t623,C125,P16,2021-11-03,1,520
623,t624,C213,P8,2020-10-31,1,40
624,t625,C103,P19,2020-01-11,1,54
625,t626,C10,P21,2019-12-29,3,228
626,t627,C238,P22,2022-01-07,3,276
627,t628,C32,P18,2020-05-27,2,138
628,t629,C50,P6,2021-10-09,1,18
629,t630,C2,P18,2022-06-12,1,69
630,t631,C149,P3,2021-08-24,1,30
